IMDB_ID,Title,Stars,Year,Genres,Description,Certificate,Writers,Director,Primary Genre,Votes,Rating,Duration
tt0451094,Lady Vengeance,"Lee Yeong-ae, Choi Min-sik, Yea-young Kwon, Lee Yeong-ae, Choi Min-sik, Yea-young Kwon",2005,"Dark Comedy, Crime, Drama, Thriller, Back to top","After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means.",R,"Park Chan-wook, Park Myeong-chan, Chung Seo-kyung",Park Chan-wook,Dark Comedy,88750,7.5,115
tt0097108,"The Cook, the Thief, His Wife & Her Lover","Richard Bohringer, Michael Gambon, Helen Mirren, Richard Bohringer, Michael Gambon, Helen Mirren",1989,"Dark Comedy, Crime, Drama, Back to top","At an opulent gourmet restaurant, a woman carries on an affair with deadly consequences.",NC-17,Peter Greenaway,Peter Greenaway,Dark Comedy,43232,7.5,124
tt1921064,Pompeii,"Kit Harington, Emily Browning, Kiefer Sutherland, Kit Harington, Emily Browning, Kiefer Sutherland",2014,"Disaster, Epic, Romantic Epic, Sword & Sandal, Action, Adventure, Drama, History, Romance, Back to top","A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his be... Read all",PG-13,"Janet Scott Batchler, Michael Robert Johnson, Lee Batchler",Paul W.S. Anderson,Disaster,119536,5.5,105
tt4244998,Alpha,"Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk",2018,"Adventure, Drama, Back to top","In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship tha... Read all",PG-13,"Daniele Sebastian Wiedenhaupt, Albert Hughes",Albert Hughes,Adventure,68342,6.6,96
tt2357377,The Berlin File,"Ha Jung-woo, Han Suk-kyu, Ryu Seung-beom, Ha Jung-woo, Han Suk-kyu, Ryu Seung-beom",2013,"Spy, Action, Thriller, Back to top","Jong-seong, a North Korean ghost agent, interrupts an illegal arms sale in Berlin. A notorious North Korean agent tests the loyalties of everyone involved as Jong-Seong prepares to make the ... Read all",PG-13,"Ryoo Seung-wan, Ted Geoghegan, Stefanie Y. Hong",Ryoo Seung-wan,Spy,7800,6.6,121
tt4411596,My Cousin Rachel,"Rachel Weisz, Sam Claflin, Holliday Grainger, Rachel Weisz, Sam Claflin, Holliday Grainger",2017,"Drama, Mystery, Romance, Thriller, Back to top","A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself fallin... Read all",PG-13,"Roger Michell, Daphne Du Maurier",Roger Michell,Drama,21541,6,106
tt0384286,Cry Wolf,"Julian Morris, Lindy Booth, Jared Padalecki, Julian Morris, Lindy Booth, Jared Padalecki",2005,"Slasher Horror, Teen Horror, Whodunnit, Drama, Horror, Mystery, Thriller, Back to top","Eight unsuspecting high school seniors at a posh boarding school, who delight themselves on playing games of lies, come face-to-face with terror and learn that nobody believes a liar - even ... Read all",Unrated,"Jeff Wadlow, Beau Bauman",Jeff Wadlow,Slasher Horror,29103,5.8,90
tt0236216,The Filth and the Fury,"Paul Cook, Steve Jones, John Lydon, Paul Cook, Steve Jones, John Lydon",2000,"Dark Comedy, Biography, Documentary, Music, Back to top","A film about the career of the notorious punk rock band, the Sex Pistols.",R,,Julien Temple,Dark Comedy,6283,7.6,108
tt0146309,Thirteen Days,"Kevin Costner, Bruce Greenwood, Shawn Driscoll, Kevin Costner, Bruce Greenwood, Shawn Driscoll",2000,"Docudrama, Period Drama, Political Drama, Political Thriller, Drama, History, Thriller, Back to top","In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",PG-13,"Philip D. Zelikow, Ernest R. May, David Self",Roger Donaldson,Docudrama,64465,7.3,145
tt0259711,Vanilla Sky,"Tom Cruise, Penélope Cruz, Cameron Diaz, Tom Cruise, Penélope Cruz, Cameron Diaz",2001,"Psychological Thriller, Fantasy, Mystery, Romance, Sci-Fi, Thriller, Back to top",A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,R,"Cameron Crowe, Alejandro Amenábar, Mateo Gil",Cameron Crowe,Psychological Thriller,292998,6.9,136
tt0255477,Pinocchio,"Roberto Benigni, Nicoletta Braschi, Carlo Giuffrè, Roberto Benigni, Nicoletta Braschi, Carlo Giuffrè",2002,"Comedy, Family, Fantasy, Back to top","Despite guidance from the Blue Fairy and the love of his father, a wooden puppet's curious spirit leads him into one wild adventure after another.",G,"Carlo Collodi, Vincenzo Cerami, Roberto Benigni",Roberto Benigni,Comedy,8775,4.3,108
tt1433905,All the Best: Fun Begins,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Sanjay Dutt, Ajay Devgn, Fardeen Khan",2009,"Action, Comedy, Drama, Musical, Back to top",The unexpected arrival of his elder NRI brother and assorted characters complicates the life of a Goan male.,Unrated,"Robin Bhatt, Paritosh Painter, Kumaar",Rohit Shetty,Action,7360,6.2,144
